Sistematic name	RA (mol/cell) [Nagalakshmi et al. 2008; Miura et al. 2008]	RS (min) [Wang et al. 2002]	TR indirect (mol/min) w/o dilution correction	TR (mol/min) w/o dilution correction	TR indirect (mol/min) dilution corrected	TR (mol/min) dilution corrected	RNA pol II density (per kb)	RNA pol II  presence (per gene)
YBR082C	37.1776	30	0.8590	0.4811	1.0870	0.5644	0.3763	0.2036
YBR083W	0.6725	27	0.0173		0.0214			
YBR084C-A		19		0.4196		0.4923	0.3282	0.3528
YBR084W	4.8994	18	0.1887	0.1527	0.2187	0.1791	0.1194	0.3495
YBR085C-A	5.7640							
YBR085W	0.9607							
YBR086C	2.0494	15	0.0947		0.1073			
YBR087W	2.5618	13	0.1366		0.1523			
YBR088C	4.7393	18	0.1825		0.2116			
YBR089C-A	6.5325							
YBR089W				0.0946		0.1109	0.0740	0.0443
YBR090C		28		0.2860		0.3355	0.2237	0.1622
YBR091C				0.1501		0.1761	0.1174	0.0386
YBR092C	10.0869	8	0.8740	0.3285	0.9358	0.3854	0.2570	0.3605
YBR093C	6.9168	10	0.4794	0.0987	0.5219	0.1157	0.0772	0.1082
YBR094W	0.7045	15	0.0326	0.0545	0.0369	0.0639	0.0426	0.0963
YBR095C	0.5764	11	0.0363	0.0909	0.0399	0.1066	0.0711	0.0918
YBR096W	5.2196	38	0.0952	0.0400	0.1272	0.0469	0.0313	0.0216
YBR097W	0.2562			0.0638		0.0748	0.0499	0.2178
YBR098W	0.8646							
YBR099C								
YBR101C	41.3405	79	0.3627	0.9120	0.6163	1.0699	0.7133	0.6220
YBR102C	1.6651	19	0.0607	0.0860	0.0710	0.1009	0.0673	0.1521
YBR103C-A								
YBR103W		10		0.1144		0.1342	0.0894	0.1437
YBR104W	0.8646	8	0.0749	0.0535	0.0802	0.0628	0.0418	0.0414
YBR105C	2.9781	11	0.1877	0.0817	0.2059	0.0958	0.0639	0.0695
YBR106W	11.6880	16	0.5063	0.6383	0.5780	0.7488	0.4992	0.2825
YBR107C	0.8006	10	0.0555	0.0947	0.0604	0.1111	0.0741	0.0546
YBR108W	1.2809	26	0.0341	0.0762	0.0420	0.0894	0.0596	0.1695
YBR109C	21.3907	22	0.6740	0.1625	0.8052	0.1906	0.1271	0.0563
YBR109W-A								
YBR110W	1.8573	9	0.1430	0.0351	0.1544	0.0412	0.0275	0.0371
YBR111C	30.4850	24	0.8804	0.0898	1.0674	0.1053	0.0702	0.0488
YBR111W-A	3.3943							
YBR112C	1.8253	21	0.0602	0.5310	0.0714	0.6229	0.4153	1.2043
YBR113W	0.2882	17	0.0118	0.1154	0.0135	0.1354	0.0903	0.0435
YBR114W	0.6084	19	0.0222	0.0536	0.0259	0.0629	0.0420	0.0995
YBR115C	1.6651	18	0.0641	0.1155	0.0743	0.1355	0.0903	0.3774
YBR116C	0.0640	113	0.0004	0.1461	0.0008	0.1714	0.1142	0.0602
YBR117C		59		0.0638		0.0749	0.0499	0.1021
YBR118W	82.9051	45	1.2770	0.2679	1.7856	0.3142	0.2095	0.2883
YBR119W	2.3696	22	0.0747	0.1316	0.0892	0.1544	0.1030	0.1014
YBR120C	4.8674	23	0.1467	0.0579	0.1765	0.0679	0.0453	0.0221
YBR121C	15.3065	27	0.3930	0.3401	0.4868	0.3990	0.2660	0.5328
YBR121C-A								
YBR122C	3.4584	16	0.1498	0.1618	0.1710	0.1899	0.1266	0.0675
YBR123C	0.7045	13	0.0376	0.0962	0.0419	0.1129	0.0752	0.1466
YBR124W	0.0640			0.0424		0.0497	0.0331	0.0119
YBR125C	0.4163			0.0776		0.0910	0.0607	0.0717
YBR126C	12.5526	103	0.0845		0.1615			
YBR126W-A								
YBR126W-B								
YBR127C	6.9488	38	0.1268	0.1717	0.1694	0.2014	0.1343	0.2085
YBR128C	0.2882	57	0.0035	0.0563	0.0053	0.0661	0.0441	0.0456
YBR129C	1.2168	26	0.0324	0.0932	0.0399	0.1093	0.0729	0.0719
YBR130C	0.6725	14	0.0333	0.1091	0.0374	0.1280	0.0853	0.1090
YBR131C-A								
YBR131W	0.4483	21	0.0148	0.0355	0.0175	0.0416	0.0277	0.0586
YBR132C	0.3202	39	0.0057		0.0077			
YBR133C	1.2809	8	0.1110	0.0859	0.1188	0.1008	0.0672	0.1669
YBR134W	0.0640	23	0.0019	0.0518	0.0023	0.0608	0.0405	0.0162
YBR135W	1.5050	17	0.0614	0.1044	0.0706	0.1225	0.0817	0.0369
YBR136W	0.3522			0.0485		0.0569	0.0380	0.2698
YBR137W	3.6505	34	0.0744	0.0649	0.0968	0.0762	0.0508	0.0274
YBR138C	0.5124							
YBR139W	0.9927	64	0.0108	0.0721	0.0168	0.0846	0.0564	0.0861
YBR140C	1.4090	38	0.0257	0.0451	0.0343	0.0529	0.0353	0.3271
YBR141C	0.2882			0.0791		0.0928	0.0618	0.0626
YBR141W-A								
YBR142W	1.8253			0.1341		0.1573	0.1049	0.2435
YBR143C	9.5426	10	0.6614	0.1387	0.7200	0.1627	0.1084	0.1424
YBR144C	0.1601			0.0559		0.0655	0.0437	0.0137
YBR145W	4.2589	50	0.0590	0.0481	0.0852	0.0564	0.0376	0.0397
YBR146W	5.7640			0.0987		0.1158	0.0772	0.0645
YBR147W	0.6404							
YBR148W	0.2242	34	0.0046		0.0059			
YBR149W	11.1117	22	0.3501	0.0816	0.4183	0.0957	0.0638	0.0659
YBR150C	4.0988							
YBR151W	6.8847	12	0.3977	0.1057	0.4399	0.1240	0.0827	0.0786
YBR152W	0.1921			0.1010		0.1185	0.0790	0.0691
YBR153W	0.8006	7	0.0793	0.1770	0.0842	0.2076	0.1384	0.1016
YBR154C	5.1235	4	0.8878	0.2804	0.9193	0.3289	0.2193	0.1419
YBR155W	0.6725	7	0.0666		0.0707			
YBR156C	0.5124	39	0.0091	0.0674	0.0122	0.0791	0.0527	0.1106
YBR157C	1.6972			0.1155		0.1355	0.0903	0.0693
YBR158W	6.3724	4	1.1043	0.3553	1.1433	0.4168	0.2779	0.4582
YBR159W	2.9781	17	0.1214	0.0762	0.1397	0.0894	0.0596	0.0622
YBR160W	1.6651	16	0.0721	0.1235	0.0824	0.1449	0.0966	0.0866
YBR161W	0.7685	23	0.0232	0.0381	0.0279	0.0447	0.0298	0.0337
YBR162C	7.2690	35	0.1440	0.1393	0.1885	0.1634	0.1089	0.1489
YBR162W-A	22.8958	14	1.1336		1.2740			
YBR163W	0.3843	15	0.0178	0.0408	0.0201	0.0478	0.0319	0.0560
YBR164C	5.4758	14	0.2711	0.1158	0.3047	0.1358	0.0905	0.0499
YBR165W	0.1921	30	0.0044	0.0617	0.0056	0.0724	0.0483	0.0402
YBR166C	1.7932	42	0.0296	0.0661	0.0406	0.0775	0.0517	0.0702
YBR167C	0.6404	71	0.0063	0.0689	0.0102	0.0809	0.0539	0.0227
YBR168W	0.5764			0.0272		0.0319	0.0213	0.0264
YBR169C	8.9021			0.0809		0.0950	0.0633	0.1317
YBR170C	2.0814	42	0.0344		0.0471			
YBR171W	4.8033	13	0.2561	0.0683	0.2856	0.0801	0.0534	0.0331
YBR172C	1.4730	3	0.3403	0.2639	0.3494	0.3096	0.2064	0.4586
YBR173C	3.1702	21	0.1046	0.3680	0.1241	0.4317	0.2878	0.1283
YBR174C		93		0.1449		0.1700	0.1133	0.0356
YBR175W	1.7932	59	0.0211	0.0838	0.0321	0.0983	0.0655	0.0621
YBR176W	1.6331			0.0370		0.0434	0.0289	0.0272
YBR177C	4.2910	31	0.0959		0.1223			
YBR178W	0.1921	34	0.0039	0.0805	0.0051	0.0945	0.0630	0.0236
YBR179C	1.6651	26	0.0444	0.0628	0.0546	0.0737	0.0491	0.1261
YBR180W	0.0640			0.0338		0.0397	0.0265	0.0455
YBR181C		24		0.2232		0.2619	0.1746	0.1854
YBR182C	0.2562							
YBR182C-A	0.1281							
YBR183W	1.3449	71	0.0131	0.0409	0.0214	0.0480	0.0320	0.0304
YBR184W	0.0640							
